Date,Price,Open,High,Low,Vol.,Change %,coef,state,activity_in,activity_out
"Jan 14, 2022","3,242.76","3,203.00","3,244.75","3,197.39",2.28M,0.57%,91.21038768265689,8.0,14.66309440900082,957.4947269248484
"Jan 13, 2022","3,224.28","3,305.01","3,324.43","3,221.82",2.59M,-2.42%,214.6017559958091,9.0,86.33594887714902,395.38900508617115
"Jan 12, 2022","3,304.14","3,331.50","3,337.56","3,288.34",2.29M,-0.09%,838.9332110257473,8.0,644.9577978671605,311.07495023904585
"Jan 11, 2022","3,307.24","3,230.00","3,327.00","3,214.03",3.12M,2.40%,43.87994961161657,5.0,75.21890859574332,328.728442614904
"Jan 10, 2022","3,229.72","3,211.71","3,233.23","3,126.09",4.38M,-0.66%,564.622799770978,7.0,930.141386802751,462.2681951707416
"Jan 07, 2022","3,251.08","3,276.78","3,304.86","3,240.62",2.33M,-0.43%,613.2087840934428,0.0,753.5726225900225,
"Jan 06, 2022","3,265.08","3,269.01","3,296.00","3,238.74",2.42M,-0.67%,530.1600371166081,7.0,837.7286444956579,
"Jan 05, 2022","3,287.14","3,337.66","3,342.52","3,287.14",3.19M,-1.89%,918.4717131949765,8.0,409.18109122836677,131.43009301799646
"Jan 04, 2022","3,350.44","3,408.76","3,428.00","3,326.99",3.43M,-1.69%,153.57028779984483,4.0,748.5924900292507,832.4111337571293
"Jan 03, 2022","3,408.09","3,351.00","3,414.07","3,323.21",3.13M,2.21%,6.142471687445195,7.0,524.2165138066289,973.8295711184564
"Dec 31, 2021","3,334.34","3,379.12","3,387.00","3,331.17",2.39M,-1.14%,160.97459919324797,6.0,819.8403332954866,495.9029531048914
"Dec 30, 2021","3,372.89","3,394.00","3,417.76","3,370.48",1.85M,-0.33%,30.06696709112855,2.0,403.63580142214505,
"Dec 29, 2021","3,384.02","3,416.80","3,424.24","3,372.01",1.78M,-0.86%,746.449189422474,5.0,461.69279421408237,124.96602345549945
"Dec 28, 2021","3,413.22","3,403.65","3,443.52","3,382.71",2.64M,0.58%,532.8004542977537,2.0,446.49902536542527,783.2633442984774
"Dec 27, 2021","3,393.39","3,420.74","3,458.86","3,384.31",2.92M,-0.82%,484.96665468592846,3.0,445.5276782671176,371.8599922709864
"Dec 23, 2021","3,421.37","3,408.56","3,439.50","3,403.00",1.84M,0.02%,388.9358521521413,5.0,371.4272191108479,671.9836842676614
"Dec 22, 2021","3,420.74","3,385.40","3,441.00","3,370.01",2.72M,0.36%,725.5689090308231,6.0,411.63849351806005,937.35594785193
"Dec 21, 2021","3,408.34","3,357.01","3,414.33","3,312.95",2.71M,2.00%,174.0476006365689,5.0,148.36331804991565,953.8709625666855
"Dec 20, 2021","3,341.58","3,337.00","3,357.49","3,312.00",2.85M,-1.73%,227.82928010616953,7.0,437.7077454879259,224.15980159666037
