Date,Price,Open,High,Low,Vol.,Change %,coef,state,activity_in,activity_out
"Jan 14, 2022","2,789.61","2,739.97","2,814.73","2,739.97",1.45M,,440.96553326073206,3.0,604.7209607338924,750.6488418074872
"Jan 13, 2022","2,771.74","2,830.80","2,857.00","2,768.18",1.49M,-2.01%,964.9556451791401,7.0,737.0240288405514,114.1041534521816
"Jan 12, 2022","2,828.61","2,823.00","2,852.16","2,813.89",1.28M,1.21%,716.3118353832966,3.0,383.4055514610938,290.8001999041079
"Jan 11, 2022","2,794.72","2,760.14","2,804.32","2,733.84",1.21M,0.77%,507.21596494797785,2.0,140.756689846831,893.5018665181448
"Jan 10, 2022","2,773.39","2,701.56","2,776.39","2,663.29",2.20M,1.21%,5.046724428363514,5.0,764.0753826307149,57.52256744169715
"Jan 07, 2022","2,740.34","2,762.91","2,768.97","2,715.33",1.49M,-0.53%,712.0185725591878,1.0,564.1901680004065,76.8547068300861
"Jan 06, 2022","2,754.95","2,739.97","2,798.80","2,731.17",1.83M,-0.02%,431.2122129101704,3.0,816.7404986596307,179.46930258481342
"Jan 05, 2022","2,755.50","2,888.40","2,889.99","2,753.76",2.68M,-4.59%,795.2296418023708,8.0,171.4066843502038,416.5169715775756
"Jan 04, 2022","2,887.99","2,907.92","2,929.70","2,874.32",1.38M,-0.41%,107.07396996727492,9.0,873.4161873998444,944.7705768911275
"Jan 03, 2022","2,899.83","2,901.10","2,917.02","2,874.25",1.41M,0.10%,,3.0,78.13707756534771,304.40511919302304
"Dec 31, 2021","2,897.04","2,921.00","2,933.97","2,897.04",879.72K,-0.92%,,4.0,60.69808764867979,430.35284562939125
"Dec 30, 2021","2,924.01","2,933.88","2,946.00","2,919.89",743.71K,-0.31%,540.8642596835073,8.0,260.19893092045464,779.190101460928
"Dec 29, 2021","2,933.10","2,932.89","2,948.34","2,912.95",886.41K,-0.02%,478.91583914521397,1.0,577.2940509727952,893.8112141304639
"Dec 28, 2021","2,933.74","2,964.72","2,965.98","2,921.09",868.00K,-0.82%,167.43897307093945,2.0,487.4668870497847,40.17867686113363
"Dec 27, 2021","2,958.13","2,945.12","2,966.88","2,943.39",787.41K,0.67%,769.8635048648416,3.0,850.372577080188,170.24193251462748
"Dec 23, 2021","2,938.33","2,930.00","2,964.87","2,929.04",1.32M,0.34%,340.2700597062509,8.0,893.7407756084192,994.5386924200136
"Dec 22, 2021","2,928.30","2,861.35","2,930.00","2,861.35",1.23M,2.05%,710.0600171795548,2.0,704.1741572723765,835.729971715145
"Dec 21, 2021","2,869.45","2,841.07","2,877.38","2,810.05",1.32M,1.32%,242.96984206403081,1.0,291.4013516920655,869.3543929245901
"Dec 20, 2021","2,832.14","2,800.00","2,835.49","2,786.42",1.34M,-0.08%,186.04589439991548,8.0,152.98916439442345,990.8448176922896
"Dec 17, 2021","2,834.50","2,850.00","2,876.69","2,826.00",2.55M,-1.88%,453.31880929908743,0.0,579.5339918241758,701.8664638263756
"Dec 16, 2021","2,888.90","2,943.41","2,953.53","2,872.14",1.64M,-1.36%,243.95947925336924,7.0,869.2246332152006,118.68706626285774
"Dec 15, 2021","2,928.82","2,868.18","2,934.42","2,833.56",1.77M,1.76%,556.9293579599888,9.0,434.767409758304,946.832434147737
"Dec 14, 2021","2,878.14","2,879.36","2,889.60","2,824.29",1.88M,-1.32%,858.4520691152475,5.0,215.95638556728892,939.4984559375162
"Dec 13, 2021","2,916.53","2,955.63","2,959.40","2,910.35",1.10M,-1.47%,12.800103894549997,5.0,905.9259254992804,484.952492642579
"Dec 10, 2021","2,960.03","2,974.00","2,979.55","2,934.07",1.22M,0.25%,205.7371678970138,5.0,688.4518998553285,215.52181544410308
"Dec 09, 2021","2,952.77","2,951.82","2,982.00","2,942.30",1.14M,-0.37%,220.4481727366333,1.0,978.5219051795323,996.7371736049361
"Dec 08, 2021","2,963.73","2,951.93","2,967.86","2,928.12",1.20M,0.62%,,3.0,317.6752712883729,41.58187799422974
"Dec 07, 2021","2,945.39","2,911.93","2,950.62","2,904.55",1.59M,2.87%,893.501216328802,8.0,703.8812417208238,883.0447301326503
"Dec 06, 2021","2,863.10","2,860.81","2,877.05","2,803.00",1.48M,0.81%,205.71787550993082,4.0,510.4124691646504,450.0207477358271
"Dec 03, 2021","2,840.03","2,873.62","2,888.00","2,806.02",2.06M,-0.67%,406.7112044145079,1.0,1.1340091233588145,285.7646005642923
"Dec 02, 2021","2,859.32","2,825.00","2,877.29","2,804.29",1.45M,1.36%,442.19553957029376,6.0,327.16706312014685,575.9247441629807
"Dec 01, 2021","2,821.03","2,880.00","2,919.00","2,818.24",1.70M,-0.60%,795.0544904169448,3.0,298.12762255148385,108.7351441652198
