Date,Price,Open,High,Low,Vol.,Change %,coef,state,activity_in,activity_out
"Jan 14, 2022","1,049.61","1,019.05","1,051.29","1,013.74",24.12M,1.75%,768.8945653574567,1.0,311.26893614948045,327.7870129226593
"Jan 13, 2022","1,031.56","1,109.06","1,115.60","1,026.54",32.06M,-6.75%,910.8762111114365,6.0,353.9726749715114,261.8089953896466
"Jan 12, 2022","1,106.22","1,078.85","1,114.84","1,072.59",27.47M,3.93%,396.31716973299456,5.0,911.5614133386555,873.4153904026535
"Jan 11, 2022","1,064.40","1,053.67","1,075.85","1,038.82",21.59M,0.59%,874.0299202212449,1.0,381.2884332304163,896.7729782106765
"Jan 10, 2022","1,058.12","1,000.00","1,059.10",980.00,30.08M,3.03%,132.6859649253742,0.0,,639.250746121184
"Jan 07, 2022","1,026.96","1,080.37","1,080.93","1,010.00",28.05M,-3.54%,13.949409386167622,1.0,317.4723408633753,6.703957272663041
"Jan 06, 2022","1,064.70","1,077.00","1,088.00","1,020.50",29.78M,-2.15%,144.2314855718616,5.0,642.4490308215615,798.9373585315915
"Jan 05, 2022","1,088.12","1,146.65","1,170.34","1,081.01",26.03M,-5.35%,454.15500087764525,5.0,620.0154690453276,479.29154726619237
"Jan 04, 2022","1,149.59","1,189.55","1,208.00","1,123.05",33.10M,-4.18%,80.466880228511,3.0,875.1823860824485,513.4306011828396
"Jan 03, 2022","1,199.78","1,147.75","1,201.07","1,136.04",34.47M,13.53%,430.4015568532232,1.0,,245.07366891184122
"Dec 31, 2021","1,056.78","1,073.44","1,082.00","1,054.59",13.58M,-1.27%,684.7466687041982,5.0,618.2155323662105,991.2092926806201
"Dec 30, 2021","1,070.34","1,061.33","1,095.55","1,053.15",15.37M,-1.46%,391.2153363816224,3.0,27.039646966461994,340.8413661962408
"Dec 29, 2021","1,086.19","1,098.64","1,104.00","1,064.14",18.59M,,475.2198279716395,4.0,782.6390091149093,979.5919496051271
,"1,088.47","1,109.49","1,119.00","1,078.42",19.94M,-0.50%,477.4598254956991,4.0,920.6576186962642,459.1728145881986
